Player,Mat,Inns,Runs,HS,Ave,SR,Centuries,HalfCenturies,Ducks
NP Kenjige,4.00,2.00,1.00,1.00,0.50,25.00,0.00,0.00,1.00
Aaron Jones,6.00,6.00,162.00,94.00,40.50,135.00,0.00,1.00,1.00
Aasif Sheikh,3.00,3.00,63.00,42.00,21.00,88.73,0.00,0.00,0.00
Abbas Afridi,1.00,1.00,17.00,17.00,17.00,80.95,0.00,0.00,0.00
F Achelam,1.00,1.00,9.00,9.00,9.00,69.23,0.00,0.00,0.00
MR Adair,3.00,3.00,52.00,34.00,17.33,115.55,0.00,0.00,0.00
AC Agar,2.00,1.00,2.00,2.00,2.00,40.00,0.00,0.00,0.00
DS Airee,3.00,3.00,32.00,25.00,10.66,66.66,0.00,0.00,0.00
MM Ali,8.00,5.00,71.00,25.00,14.20,139.21,0.00,0.00,0.00
Ali Khan,6.00,2.00,14.00,14.00,14.00,175.00,0.00,0.00,1.00
FH Allen,4.00,4.00,35.00,26.00,8.75,81.39,0.00,0.00,2.00
CJA Amini,3.00,3.00,34.00,17.00,11.33,64.15,0.00,0.00,0.00
CJ Anderson,6.00,5.00,66.00,29.00,16.50,91.66,0.00,0.00,0.00
Aqib Ilyas,4.00,4.00,42.00,18.00,10.50,120.00,0.00,0.00,1.00
JC Archer,8.00,2.00,22.00,21.00,22.00,129.41,0.00,0.00,0.00
Arshdeep Singh,8.00,3.00,12.00,9.00,12.00,75.00,0.00,0.00,0.00
KIC Asalanka,3.00,3.00,71.00,46.00,23.66,139.21,0.00,0.00,0.00
PS Athavale,3.00,3.00,59.00,54.00,19.66,134.09,0.00,1.00,1.00
Ayaan Khan,4.00,4.00,93.00,41.00,31.00,97.89,0.00,0.00,0.00
Azam Khan,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Azmatullah Omarzai,8.00,8.00,111.00,26.00,13.87,108.82,0.00,0.00,0.00
Babar Azam,4.00,4.00,122.00,44.00,40.66,101.66,0.00,0.00,0.00
JM Bairstow,8.00,6.00,110.00,48.00,27.50,134.14,0.00,0.00,1.00
DS Bajwa,2.00,2.00,18.00,11.00,9.00,128.57,0.00,0.00,0.00
A Balbirnie,3.00,3.00,22.00,17.00,7.33,68.75,0.00,0.00,1.00
S Bau,4.00,4.00,67.00,50.00,16.75,83.75,0.00,1.00,1.00
RD Berrington,4.00,3.00,102.00,47.00,102.00,139.72,0.00,0.00,0.00
K Bhurtel,3.00,3.00,24.00,13.00,8.00,61.53,0.00,0.00,0.00
Bilal Hassun,1.00,1.00,8.00,8.00,8.00,50.00,0.00,0.00,0.00
Bilal Khan,4.00,3.00,2.00,1.00,0.00,50.00,0.00,0.00,0.00
A Bohara,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
TA Boult,4.00,2.00,10.00,7.00,10.00,90.90,0.00,0.00,0.00
MG Bracewell,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
JT Brassell,2.00,1.00,2.00,2.00,0.00,66.66,0.00,0.00,0.00
HC Brook,8.00,4.00,145.00,53.00,72.50,157.60,0.00,1.00,0.00
JJ Bumrah,8.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
JC Buttler,8.00,7.00,214.00,83.00,42.80,158.51,0.00,1.00,1.00
C Campher,3.00,3.00,23.00,12.00,7.66,79.31,0.00,0.00,0.00
MS Chapman,1.00,1.00,4.00,4.00,4.00,57.14,0.00,0.00,0.00
J Charles,6.00,6.00,140.00,44.00,23.33,113.82,0.00,0.00,2.00
RL Chase,6.00,3.00,94.00,52.00,47.00,130.55,0.00,1.00,1.00
DP Conway,4.00,4.00,70.00,35.00,23.33,107.69,0.00,0.00,0.00
MH Cross,4.00,3.00,36.00,18.00,18.00,150.00,0.00,0.00,0.00
PJ Cummins,5.00,3.00,14.00,11.00,7.00,82.35,0.00,0.00,1.00
SM Curran,5.00,2.00,12.00,10.00,12.00,109.09,0.00,0.00,0.00
TH David,7.00,5.00,61.00,24.00,15.25,148.78,0.00,0.00,0.00
N Davin,4.00,4.00,64.00,24.00,16.00,96.96,0.00,0.00,0.00
Q de Kock,9.00,9.00,243.00,74.00,27.00,140.46,0.00,2.00,1.00
GJ Delany,3.00,3.00,60.00,31.00,20.00,150.00,0.00,0.00,0.00
