Player,Mat,Inns,Balls,Mdns,Runs,Wkts,Ave,Econ
NP Kenjige,4.00,4.00,60.00,0.00,89.00,3.00,29.66,8.90
Abbas Afridi,1.00,1.00,18.00,0.00,31.00,0.00,0.00,10.33
MR Adair,3.00,3.00,72.00,0.00,74.00,3.00,24.66,6.16
AC Agar,2.00,2.00,48.00,1.00,56.00,1.00,56.00,7.00
DS Airee,3.00,3.00,57.00,0.00,49.00,6.00,8.16,5.15
MM Ali,8.00,4.00,54.00,0.00,73.00,3.00,24.33,8.11
Ali Khan,6.00,6.00,116.00,0.00,181.00,3.00,60.33,9.36
CJA Amini,3.00,3.00,20.00,0.00,21.00,0.00,0.00,6.30
CJ Anderson,6.00,4.00,48.00,0.00,69.00,1.00,69.00,8.62
Aqib Ilyas,4.00,3.00,66.00,1.00,76.00,2.00,38.00,6.90
JC Archer,8.00,8.00,158.00,1.00,190.00,10.00,19.00,7.21
Arshdeep Singh,8.00,8.00,180.00,0.00,215.00,17.00,12.64,7.16
Ayaan Khan,4.00,2.00,18.00,0.00,32.00,1.00,32.00,10.66
Azmatullah Omarzai,8.00,6.00,67.00,1.00,104.00,2.00,52.00,9.31
OEG Baartman,5.00,5.00,114.00,1.00,94.00,6.00,15.66,4.94
S Bau,4.00,1.00,6.00,0.00,18.00,0.00,0.00,18.00
K Bhurtel,3.00,2.00,48.00,0.00,41.00,4.00,10.25,5.12
Bilal Hassun,1.00,1.00,12.00,0.00,34.00,0.00,0.00,17.00
Bilal Khan,4.00,4.00,73.00,0.00,109.00,4.00,27.25,8.95
A Bohara,3.00,3.00,46.00,0.00,58.00,1.00,58.00,7.56
TA Boult,4.00,4.00,96.00,2.00,59.00,9.00,6.55,3.68
MG Bracewell,1.00,1.00,18.00,0.00,27.00,0.00,0.00,9.00
JT Brassell,2.00,2.00,16.00,0.00,46.00,0.00,0.00,17.25
JJ Bumrah,8.00,8.00,178.00,2.00,124.00,15.00,8.26,4.17
C Campher,3.00,3.00,42.00,0.00,39.00,2.00,19.50,5.57
RL Chase,6.00,5.00,90.00,0.00,80.00,7.00,11.42,5.33
PJ Cummins,5.00,5.00,114.00,1.00,144.00,9.00,16.00,7.57
SM Curran,5.00,5.00,72.00,0.00,115.00,3.00,38.33,9.58
BJ Currie,2.00,1.00,24.00,0.00,16.00,2.00,8.00,4.00
