Player,Mat,Inns,Ct,Max,Ct/Inn
AK Markram,9.00,9.00,8.00,4.00,0.89
GJ Maxwell,7.00,7.00,7.00,4.00,1.00
HC Brook,8.00,8.00,7.00,2.00,0.88
T Stubbs,9.00,9.00,7.00,2.00,0.78
Tanzim Hasan Sakib,7.00,7.00,6.00,2.00,0.86
Mohammad Nabi,8.00,8.00,6.00,2.00,0.75
H Klaasen,9.00,9.00,6.00,2.00,0.67
LV van Beek,4.00,4.00,5.00,3.00,1.25
J Charles,6.00,6.00,5.00,2.00,0.83
TH David,7.00,7.00,5.00,2.00,0.71
R Powell,7.00,7.00,5.00,2.00,0.71
Gulbadin Naib,8.00,8.00,5.00,1.00,0.63
PD Salt,8.00,8.00,5.00,1.00,0.63
RG Sharma,8.00,8.00,5.00,2.00,0.63
SA Yadav,8.00,8.00,5.00,2.00,0.63
KIC Asalanka,3.00,3.00,4.00,2.00,1.33
PHKD Mendis,3.00,3.00,4.00,2.00,1.33
SA Engelbrecht,4.00,4.00,4.00,2.00,1.00
DJ Mitchell,4.00,4.00,4.00,3.00,1.00
MA Starc,5.00,5.00,4.00,2.00,0.80
RL Chase,6.00,6.00,4.00,2.00,0.67
JR Hazlewood,6.00,6.00,4.00,1.00,0.67
Najmul Hossain Shanto,7.00,7.00,4.00,2.00,0.57
DA Warner,7.00,7.00,4.00,1.00,0.57
AR Patel,8.00,8.00,4.00,1.00,0.50
Rashid Khan,8.00,8.00,4.00,2.00,0.50
RR Hendricks,9.00,9.00,4.00,2.00,0.44
M Jansen,9.00,9.00,4.00,2.00,0.44
Soumya Sarkar,2.00,2.00,3.00,2.00,1.50
DS Airee,3.00,3.00,3.00,2.00,1.00
MA Jones,4.00,3.00,3.00,2.00,1.00
BFW de Leede,4.00,4.00,3.00,2.00,0.75
GD Phillips,4.00,4.00,3.00,1.00,0.75
D Wiese,4.00,4.00,3.00,2.00,0.75
AS Joseph,7.00,7.00,3.00,1.00,0.43
Rishad Hossain,7.00,7.00,3.00,2.00,0.43
AD Russell,7.00,7.00,3.00,2.00,0.43
Shakib Al Hasan,7.00,7.00,3.00,1.00,0.43
Arshdeep Singh,8.00,8.00,3.00,1.00,0.38
RA Jadeja,8.00,8.00,3.00,3.00,0.38
DA Miller,9.00,9.00,3.00,1.00,0.33
K Rabada,9.00,9.00,3.00,2.00,0.33
KR Mayers,1.00,1.00,2.00,2.00,2.00
Mohammad Rizwan,4.00,1.00,2.00,2.00,2.00
S Lamichhane,2.00,2.00,2.00,1.00,1.00
